"product_key","product_name","category","subcategory","cost","total_sales","lifespan","product_segment","recency","avg_order_rev","avg_month_rev"
147,Touring-3000 Blue- 58,Bikes,Touring Bikes,461,42294,12,Low-Performers,136,742.0000,3524.5000
148,Touring-3000 Blue- 62,Bikes,Touring Bikes,461,47488,11,Low-Performers,136,742.0000,4317.0909
149,Touring-3000 Yellow- 44,Bikes,Touring Bikes,461,43778,11,Low-Performers,136,742.0000,3979.8182
150,Touring-3000 Yellow- 50,Bikes,Touring Bikes,461,43778,12,Low-Performers,136,742.0000,3648.1667
151,Touring-3000 Yellow- 54,Bikes,Touring Bikes,461,35616,10,Low-Performers,136,742.0000,3561.6000
152,Touring-3000 Yellow- 58,Bikes,Touring Bikes,461,34874,12,Low-Performers,136,742.0000,2906.1667
153,Touring-3000 Yellow- 62,Bikes,Touring Bikes,461,37100,11,Low-Performers,136,742.0000,3372.7273
154,Touring-2000 Blue- 46,Bikes,Touring Bikes,755,117855,12,High-Performers,136,1215.0000,9821.2500
155,Touring-2000 Blue- 50,Bikes,Touring Bikes,755,128790,12,High-Performers,136,1215.0000,10732.5000
156,Touring-2000 Blue- 54,Bikes,Touring Bikes,755,106920,12,High-Performers,136,1215.0000,8910.0000
157,Touring-2000 Blue- 60,Bikes,Touring Bikes,755,98415,12,Mid-Range,136,1215.0000,8201.2500
158,Touring-1000 Blue- 46,Bikes,Touring Bikes,1482,421968,12,High-Performers,136,2384.0000,35164.0000
159,Touring-1000 Blue- 50,Bikes,Touring Bikes,1482,357600,12,High-Performers,136,2384.0000,29800.0000
160,Touring-1000 Blue- 54,Bikes,Touring Bikes,1482,381440,12,High-Performers,136,2384.0000,31786.6667
161,Touring-1000 Blue- 60,Bikes,Touring Bikes,1482,350448,12,High-Performers,136,2384.0000,29204.0000
162,Touring-1000 Yellow- 46,Bikes,Touring Bikes,1482,410048,12,High-Performers,136,2384.0000,34170.6667
163,Touring-1000 Yellow- 50,Bikes,Touring Bikes,1482,359984,12,High-Performers,136,2384.0000,29998.6667
164,Touring-1000 Yellow- 54,Bikes,Touring Bikes,1482,376672,11,High-Performers,136,2384.0000,34242.9091
165,Touring-1000 Yellow- 60,Bikes,Touring Bikes,1482,333760,12,High-Performers,136,2384.0000,27813.3333
166,AWC Logo Cap,Clothing,Caps,7,19710,13,Low-Performers,135,9.0000,1516.1538
168,Bike Wash - Dissolver,Accessories,Cleaners,3,7272,13,Low-Performers,135,8.0088,559.3846
174,Fender Set - Mountain,Accessories,Fenders,8,46662,13,Low-Performers,135,22.0000,3589.3846
233,Half-Finger Gloves- L,Clothing,Gloves,9,10632,13,Low-Performers,135,24.0000,817.8462
234,Half-Finger Gloves- M,Clothing,Gloves,9,11976,13,Low-Performers,135,24.0000,921.2308
235,Half-Finger Gloves- S,Clothing,Gloves,9,11688,13,Low-Performers,135,24.0000,899.0769
244,Sport-100 Helmet- Black,Accessories,Helmets,13,72975,13,Mid-Range,135,35.0000,5613.4615
245,Sport-100 Helmet- Blue,Accessories,Helmets,13,74375,13,Mid-Range,135,35.0165,5721.1538
246,Sport-100 Helmet- Red,Accessories,Helmets,13,78050,13,Mid-Range,135,35.0000,6003.8462
247,Hydration Pack - 70 oz.,Accessories,Hydration Packs,21,40315,13,Low-Performers,135,55.0000,3101.1538
248,Long-Sleeve Logo Jersey- L,Clothing,Jerseys,38,22650,13,Low-Performers,135,50.1106,1742.3077
249,Long-Sleeve Logo Jersey- M,Clothing,Jerseys,38,22100,13,Low-Performers,135,50.0000,1700.0000
250,Long-Sleeve Logo Jersey- S,Clothing,Jerseys,38,21450,13,Low-Performers,135,50.0000,1650.0000
251,Long-Sleeve Logo Jersey- XL,Clothing,Jerseys,38,20700,13,Low-Performers,135,50.1211,1592.3077
259,Patch Kit/8 Patches,Accessories,Tires and Tubes,1,6378,13,Low-Performers,135,2.0000,490.6154
260,Hitch Rack - 4-Bike,Accessories,Bike Racks,45,39240,13,Low-Performers,135,120.0000,3018.4615
272,Women's Mountain Shorts- L,Clothing,Shorts,26,25410,13,Low-Performers,135,70.0000,1954.6154
273,Women's Mountain Shorts- M,Clothing,Shorts,26,24640,13,Low-Performers,135,70.0000,1895.3846
274,Women's Mountain Shorts- S,Clothing,Shorts,26,21280,13,Low-Performers,135,70.0000,1636.9231
275,Short-Sleeve Classic Jersey- L,Clothing,Jerseys,42,20196,13,Low-Performers,135,54.0000,1553.5385
276,Short-Sleeve Classic Jersey- M,Clothing,Jerseys,42,21978,13,Low-Performers,135,54.0000,1690.6154
277,Short-Sleeve Classic Jersey- S,Clothing,Jerseys,42,21924,13,Low-Performers,135,54.0000,1686.4615
278,Short-Sleeve Classic Jersey- XL,Clothing,Jerseys,42,22086,13,Low-Performers,135,54.0000,1698.9231
279,Racing Socks- L,Clothing,Socks,3,2430,13,Low-Performers,135,9.0000,186.9231
280,Racing Socks- M,Clothing,Socks,3,2682,13,Low-Performers,135,9.0000,206.3077
281,All-Purpose Bike Stand,Accessories,Bike Stands,59,39591,13,Low-Performers,135,159.0000,3045.4615
282,LL Mountain Tire,Accessories,Tires and Tubes,9,21550,13,Low-Performers,135,25.0581,1657.6923
283,ML Mountain Tire,Accessories,Tires and Tubes,11,34800,13,Low-Performers,135,30.0000,2676.9231
284,HL Mountain Tire,Accessories,Tires and Tubes,13,48860,13,Low-Performers,135,35.0251,3758.4615
285,LL Road Tire,Accessories,Tires and Tubes,8,21903,13,Low-Performers,135,21.0000,1684.8462
286,ML Road Tire,Accessories,Tires and Tubes,9,23125,13,Low-Performers,135,25.0000,1778.8462
287,HL Road Tire,Accessories,Tires and Tubes,12,28314,13,Low-Performers,135,33.0000,2178.0000
288,Touring Tire,Accessories,Tires and Tubes,11,27115,13,Low-Performers,135,29.0000,2085.7692
289,Mountain Tire Tube,Accessories,Tires and Tubes,2,15465,13,Low-Performers,135,5.0016,1189.6154
290,Road Tire Tube,Accessories,Tires and Tubes,1,9500,13,Low-Performers,135,4.0000,730.7692
291,Touring Tire Tube,Accessories,Tires and Tubes,2,7435,13,Low-Performers,135,5.0000,571.9231
292,Classic Vest- L,Clothing,Vests,24,12480,13,Low-Performers,135,64.0000,960.0000
293,Classic Vest- M,Clothing,Vests,24,12736,13,Low-Performers,135,64.0000,979.6923
294,Classic Vest- S,Clothing,Vests,24,10944,13,Low-Performers,135,65.1429,841.8462
295,Water Bottle - 30 oz.,Accessories,Bottles and Cages,2,21245,13,Low-Performers,135,5.0059,1634.2308
